ID,createdAt,createdBy,modifiedAt,modifiedBy,orderNumber,orderDate,requiredDate,shippedDate,freight,employeeName,shipName,shipAddress,shipCity,shipCountry,customer_ID
c8725019-71d4-4b34-8a6a-ef2af5a79d4d,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10248,2026-05-23T04:22:36.354Z,2026-06-07T04:22:36.354Z,,10,Nancy Davolio,Global Trading LLC,10 Main St,Los Angeles,USA,8a3ead53-c2d4-45bd-92ad-84d2dfcf7234
1582e44d-8dde-4087-8cf4-9c404d5ad52a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10249,2026-05-22T10:28:53.349Z,2026-06-07T10:28:53.349Z,2026-05-25T10:28:53.349Z,11.25,Andrew Fuller,Apex Logistics Inc.,11 Broadway,Berlin,Germany,9f83f1ac-abc0-40b6-8b23-cc1d600aa7e8
9f9c80f8-13e4-43ae-8027-d78f0ca0492a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10250,2026-05-21T08:48:46.271Z,2026-06-07T08:48:46.271Z,2026-05-25T08:48:46.271Z,12.5,Janet Leverling,Matrix Industries Corp,12 Oak Ave,Birmingham,UK,063ad3cb-682a-42c8-b25b-3ffab9bbee6f
58c28390-cfe7-4d88-875e-a3141264156c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10251,2026-05-20T06:26:24.063Z,2026-06-07T06:26:24.063Z,2026-05-25T06:26:24.063Z,13.75,Margaret Peacock,Summit Solutions Ltd,13 Pine St,Ho Chi Minh City,Vietnam,99f54a45-af8c-4e17-a778-6a196fb676d7
c860761a-db00-41bc-beae-64eb061ccb24,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10252,2026-05-19T11:02:37.972Z,2026-06-07T11:02:37.972Z,2026-05-25T11:02:37.972Z,15,Steven Buchanan,Vortex Foods GmbH,14 Maple Dr,Singapore,Singapore,e13d2e69-5ab6-4490-a64c-b005b4b2570d
83bba331-be89-4570-9175-beb655aeffa6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10253,2026-05-18T10:37:21.749Z,2026-06-07T10:37:21.749Z,2026-05-20T10:37:21.749Z,16.25,Michael Suyama,Zenith Group Co.,15 Cedar Rd,New York,USA,d891c341-af16-437b-b011-042468e6a946
240f4e6c-4557-4850-8719-c6954131e34a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10254,2026-05-17T11:45:53.524Z,2026-06-07T11:45:53.524Z,2026-05-20T11:45:53.524Z,17.5,Robert King,Nova Enterprises S.A.,16 Elm St,Frankfurt,Germany,ff338627-c51e-40b7-860a-2d130d2a3645
662fae27-4536-477c-ab3d-3b51e5eb0c09,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10255,2026-05-16T07:14:07.486Z,2026-06-07T07:14:07.486Z,2026-05-20T07:14:07.486Z,18.75,Laura Callahan,Infinity Partners Partnership,17 View Rd,Leeds,UK,0451033d-e2dd-45e9-a942-aa4b04cfcbb7
9ffa7011-d60b-4de6-92a8-3201c5c2acff,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10256,2026-05-15T14:31:06.486Z,2026-06-07T14:31:06.486Z,2026-05-20T14:31:06.486Z,20,Anne Dodsworth,Quantum Ventures LLC,18 Sunset Blvd,Hanoi,Vietnam,c946b296-c980-44ce-989c-810221181560
c8e55d43-442b-4e96-97ef-ed647ba07ad0,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10257,2026-05-14T13:02:19.600Z,2026-06-07T13:02:19.600Z,2026-05-20T13:02:19.600Z,21.25,Nancy Davolio,Omni Holdings Inc.,19 Lake St,Singapore,Singapore,41860f7c-5d6d-4856-8d1d-625c88bee01f
