ID,createdAt,createdBy,modifiedAt,modifiedBy,orderNumber,orderDate,requiredDate,shippedDate,freight,employeeName,shipName,shipAddress,shipCity,shipCountry,status,subtotal,tax,totalAmount,isDeleted,customer_ID
1d67fcde-856d-4189-9291-e5d79e69a09a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10248,2026-05-23T07:05:06.171Z,2026-06-07T07:05:06.171Z,,10,Nancy Davolio,Global Trading LLC,10 Main St,Miami,USA,NEW,4.5,0.45,14.95,false,521a3e71-a456-4309-befa-ea9612904c16
90bcfc2b-d34b-49b6-9933-5ece60a723eb,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10249,2026-05-22T03:45:55.789Z,2026-06-07T03:45:55.789Z,2026-05-25T03:45:55.789Z,11.25,Andrew Fuller,Apex Logistics Inc.,11 Broadway,Frankfurt,Germany,NEW,49.05,4.91,65.21,false,be55d3a0-77d1-46a4-8100-45f573a75de6
50427ee0-c635-4068-ac81-fc49a5a83d46,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10250,2026-05-21T06:07:18.133Z,2026-06-07T06:07:18.133Z,2026-05-25T06:07:18.133Z,12.5,Janet Leverling,Matrix Industries Corp,12 Oak Ave,London,UK,NEW,37.2,3.72,53.42,false,1a0c8f40-4a70-4da2-8c74-d75dec52b7e0
288e4fc1-747d-42a7-b178-ec33197f1bb0,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10251,2026-05-20T10:53:46.016Z,2026-06-07T10:53:46.016Z,2026-05-25T10:53:46.016Z,13.75,Margaret Peacock,Summit Solutions Ltd,13 Pine St,Can Tho,Vietnam,NEW,154.15,15.42,183.32,false,69c5fb17-98b0-42d2-b37a-501982358e8e
16a1156a-8348-49ea-897c-78a5edd8a42d,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10252,2026-05-19T12:15:22.579Z,2026-06-07T12:15:22.579Z,2026-05-25T12:15:22.579Z,15,Steven Buchanan,Vortex Foods GmbH,14 Maple Dr,Singapore,Singapore,NEW,99,9.9,123.9,false,2435224e-0d12-4882-9b3c-e34069812c9d
fd9666a8-0a0e-4bd5-beb5-abed01dffd12,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10253,2026-05-18T07:24:35.112Z,2026-06-07T07:24:35.112Z,2026-05-20T07:24:35.112Z,16.25,Michael Suyama,Zenith Group Co.,15 Cedar Rd,Seattle,USA,NEW,71.85,7.18,95.28,false,e043b65f-fe5b-43fd-ba58-bdc406bafc10
69556ed5-b5d9-4166-86bf-ae415802e6ca,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10254,2026-05-17T12:39:23.485Z,2026-06-07T12:39:23.485Z,2026-05-20T12:39:23.485Z,17.5,Robert King,Nova Enterprises S.A.,16 Elm St,Frankfurt,Germany,NEW,54.4,5.44,77.34,false,10a6cd15-c01a-4010-8ce3-0d6f1fe8f31d
d7d3a940-3880-4357-9409-7d20c35fdb9e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10255,2026-05-16T03:25:08.113Z,2026-06-07T03:25:08.113Z,2026-05-20T03:25:08.113Z,18.75,Laura Callahan,Infinity Partners Partnership,17 View Rd,Leeds,UK,NEW,223.7,22.37,264.82,false,6fa099ba-f92f-476f-bffa-f3cfca2f6438
efdfe787-5da0-44d2-ad1a-bcbe1c42297b,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10256,2026-05-15T05:36:03.157Z,2026-06-07T05:36:03.157Z,2026-05-20T05:36:03.157Z,20,Anne Dodsworth,Quantum Ventures LLC,18 Sunset Blvd,Hai Phong,Vietnam,NEW,138.4,13.84,172.24,false,6de70056-946a-4e89-a921-79930e4725d7
0b3c46ee-1486-4017-886e-b2596c692f5b,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,10257,2026-05-14T14:36:36.466Z,2026-06-07T14:36:36.466Z,2026-05-20T14:36:36.466Z,21.25,Nancy Davolio,Omni Holdings Inc.,19 Lake St,Singapore,Singapore,NEW,227.63,22.76,271.64,false,f6d25489-4be0-4b09-8dd5-9688f500638a
